"Metric","Value"
"OverallStatus","FAIL"
"Unit Tests Total/Passed/Failed","2/2/0"
"Integration Tests Total/Passed/Failed","96/96/0"
"RBAC Tests Total/Passed/Failed","70/70/0"
"Unit Coverage %","5.3"
"Integration Coverage %","75.71"
"SecurityGate","PASS"
"PerformanceGate","FAIL"
"SonarQualityGate","OK"
"Business High/Medium","0/0"
"FailRuleHits","None"
"Baseline JSON","c:\Users\Asus\Documents\GitHub\school\financial-accounting\Document\security\zap-baseline-20260222-231435.json"
"API JSON","c:\Users\Asus\Documents\GitHub\school\financial-accounting\Document\security\zap-api-20260222-231435.json"
"SoakDriftPct","-55.26"
"SpikeDriftPct","-57.59"
"MetricsCsv","c:\Users\Asus\Documents\GitHub\school\financial-accounting\Document\performance\runtime-metrics-20260222-231435.csv"
"Runtime AvgCpu/MaxCpu","96.78/100"
"Runtime MaxWorkingSetMb","98.54"
"Runtime MemoryGrowthMb","-0.06"
"Coverage gate failed","Unit coverage 5.3% is below 70%."
"Performance gate failed for profile 100","errorPct=25.53 > 1."
"Performance gate failed for profile 500","errorPct=25 > 2."
"Soak gate failed","errorPct=20.66 > 1.0."
"Spike gate failed","errorPct=25.81 > 3.0."
